txn_id,player_id,txn_ts,txn_type,amount
72,26,2025-01-06 23:08:05,deposit,33.05
73,27,2025-02-12 22:46:22,reward,48.58
74,27,2025-02-18 09:14:22,deposit,80.96
75,27,2025-01-28 21:18:22,withdrawal,94.11
76,28,2025-05-31 20:34:40,deposit,46.48
77,29,2025-03-13 22:26:01,deposit,47.33
78,29,2025-04-30 00:29:01,deposit,55.02
79,29,2025-04-01 08:21:01,reward,33.95
80,29,2025-03-31 13:20:01,reward,7.35
81,29,2025-03-12 22:13:01,deposit,19.78
82,30,2025-01-07 15:14:59,deposit,9.12
83,30,2025-02-18 02:34:59,entry_fee,5.0
84,30,2025-01-10 03:44:59,entry_fee,1.0
85,31,2024-12-28 16:33:13,deposit,76.07
86,31,2025-04-05 11:00:13,withdrawal,65.6
87,32,2024-11-24 18:44:21,withdrawal,80.49
88,33,2025-01-21 15:42:29,deposit,87.7
89,33,2024-11-20 01:11:29,deposit,34.35
90,33,2025-01-28 16:29:29,deposit,61.64
91,34,2025-01-27 12:48:47,deposit,83.05
92,34,2024-12-30 14:52:47,withdrawal,81.22
93,34,2024-12-29 19:32:47,deposit,23.9
94,35,2025-05-01 06:02:05,reward,32.57
95,36,2025-01-05 10:18:36,withdrawal,95.48
96,37,2025-02-23 12:43:29,reward,35.92
97,37,2025-02-04 06:22:29,deposit,56.51
98,38,2025-05-20 00:36:47,reward,11.71
99,38,2025-05-04 12:08:47,reward,45.18
100,38,2025-05-07 14:19:47,reward,44.01
101,38,2025-05-28 20:17:47,deposit,56.63
102,39,2024-12-04 03:59:35,entry_fee,1.0
103,39,2025-04-19 16:57:35,withdrawal,72.8
104,40,2025-02-12 14:39:18,reward,14.45
105,41,2025-01-15 19:18:37,deposit,70.15
106,41,2025-03-14 17:19:37,entry_fee,10.0
107,41,2025-02-06 15:05:37,entry_fee,20.0
108,42,2025-05-31 23:15:49,deposit,46.94
109,42,2025-05-23 11:03:49,deposit,19.98
110,42,2025-06-05 03:39:49,entry_fee,5.0
111,42,2025-03-20 00:37:49,deposit,23.81
112,42,2025-06-04 05:51:49,deposit,64.27
113,43,2025-05-09 19:27:31,deposit,35.5
114,44,2025-01-17 12:05:04,deposit,16.85
115,44,2025-04-15 00:02:04,deposit,47.01
116,44,2025-03-22 08:11:04,deposit,29.69
117,44,2025-03-01 21:39:04,withdrawal,5.08
118,45,2025-02-28 12:07:14,deposit,66.02
119,45,2024-12-10 00:44:14,deposit,78.59
120,45,2025-01-12 02:24:14,entry_fee,20.0
121,45,2025-01-27 11:01:14,deposit,79.67
122,46,2025-05-30 06:37:16,entry_fee,1.0
123,46,2025-04-05 18:20:16,deposit,68.1
124,46,2025-04-12 05:08:16,deposit,73.31
125,48,2025-05-19 16:34:35,deposit,80.65
126,48,2025-06-04 20:17:35,deposit,28.03
127,48,2025-05-21 17:52:35,deposit,13.97
128,48,2025-04-29 15:21:35,entry_fee,10.0
129,49,2025-04-02 01:44:30,deposit,53.88
130,49,2025-01-09 00:04:30,deposit,55.17
131,50,2025-06-05 15:58:22,withdrawal,88.91
132,50,2025-05-05 02:32:22,deposit,83.87
133,50,2025-01-25 01:34:22,reward,28.05
134,50,2025-01-17 05:10:22,deposit,76.53
135,51,2025-04-11 03:18:13,entry_fee,2.0
136,51,2025-03-13 19:51:13,entry_fee,1.0
137,51,2025-03-07 17:27:13,deposit,38.51
138,51,2025-03-08 15:07:13,deposit,37.58
139,51,2025-01-22 03:50:13,deposit,91.11
140,52,2025-01-19 13:21:27,entry_fee,2.0
141,52,2025-01-14 06:18:27,reward,37.99
142,52,2025-03-08 23:46:27,entry_fee,20.0
143,53,2025-04-16 22:52:14,deposit,87.67
144,53,2025-03-06 00:54:14,deposit,15.05
145,53,2025-04-30 15:18:14,reward,35.37
146,53,2025-01-24 20:22:14,entry_fee,5.0
147,54,2025-03-22 00:38:07,entry_fee,20.0
148,54,2025-01-05 15:09:07,deposit,20.98
149,54,2025-03-06 04:07:07,reward,24.99
150,54,2025-02-18 09:51:07,reward,9.55
151,55,2025-03-25 10:23:36,reward,13.95
152,55,2025-04-05 18:17:36,entry_fee,10.0
153,55,2025-03-30 16:06:36,deposit,18.83
154,56,2025-03-01 13:39:02,reward,40.18
155,56,2024-11-26 04:27:02,withdrawal,98.52
156,56,2025-02-28 15:03:02,reward,30.34
157,56,2025-02-03 23:33:02,entry_fee,2.0
158,58,2025-01-25 08:40:05,entry_fee,10.0
159,58,2025-01-17 02:13:05,deposit,64.17
160,59,2025-05-10 10:45:58,deposit,85.93
161,59,2025-03-24 16:31:58,entry_fee,1.0
162,59,2025-01-31 22:24:58,deposit,82.82
163,60,2025-04-09 16:22:44,entry_fee,1.0
164,61,2025-05-30 14:33:02,entry_fee,10.0
165,61,2025-05-13 02:31:02,entry_fee,1.0
166,61,2025-02-13 00:25:02,deposit,29.06
167,61,2025-02-20 21:54:02,deposit,94.41
168,62,2025-05-24 16:42:37,entry_fee,10.0
169,62,2025-02-06 15:57:37,deposit,99.52
170,63,2025-04-21 14:16:51,entry_fee,10.0
171,63,2025-03-18 06:24:51,deposit,43.26
172,63,2025-01-29 20:58:51,deposit,50.83
173,64,2025-05-13 03:56:28,reward,24.02
174,64,2025-03-04 09:39:28,reward,45.36
175,64,2025-02-13 05:12:28,entry_fee,2.0
176,65,2024-12-15 10:19:49,entry_fee,5.0
177,65,2024-12-15 19:21:49,deposit,65.97
178,66,2025-02-04 19:15:09,withdrawal,33.93
179,66,2025-04-02 19:23:09,entry_fee,10.0
180,67,2025-04-12 13:57:24,entry_fee,1.0
181,67,2025-05-08 18:41:24,reward,42.39
182,67,2025-02-23 02:58:24,withdrawal,57.57
183,68,2025-02-27 16:32:02,entry_fee,2.0
184,68,2025-03-13 11:27:02,reward,6.4
185,68,2025-03-12 13:40:02,entry_fee,20.0
186,68,2024-12-27 18:07:02,entry_fee,1.0
187,68,2025-01-26 04:49:02,entry_fee,1.0
188,69,2024-11-28 12:08:00,reward,35.84
189,69,2025-01-06 04:04:00,withdrawal,60.55
190,69,2024-11-26 09:50:00,deposit,83.83
191,70,2025-04-14 17:04:35,reward,8.47
192,70,2024-12-23 16:45:35,deposit,55.08
193,70,2025-02-19 00:12:35,entry_fee,2.0
194,71,2025-01-28 00:22:54,withdrawal,83.38
195,71,2025-05-18 19:02:54,deposit,94.52
196,71,2025-03-08 10:13:54,entry_fee,10.0
197,72,2024-11-19 00:45:19,entry_fee,2.0
198,72,2025-01-03 23:22:19,deposit,9.58
199,73,2025-03-23 11:46:43,entry_fee,5.0
200,74,2025-01-15 20:56:54,deposit,17.32
201,74,2024-12-02 16:31:54,entry_fee,1.0
202,75,2025-03-26 01:47:06,deposit,75.7
203,75,2025-03-11 02:47:06,reward,49.55
204,75,2025-02-28 11:52:06,deposit,85.33
205,76,2025-02-26 20:08:22,entry_fee,20.0
206,76,2025-02-14 04:33:22,reward,19.39
207,76,2025-03-05 03:09:22,reward,4.86
208,76,2024-12-22 10:32:22,deposit,20.66
209,77,2024-12-04 09:43:55,deposit,45.42
210,78,2025-02-22 02:43:12,entry_fee,2.0
211,78,2025-04-11 20:25:12,entry_fee,2.0
212,78,2024-12-22 17:06:12,deposit,31.65
213,78,2025-01-15 04:51:12,entry_fee,2.0
214,79,2025-01-30 10:55:03,deposit,72.32
215,80,2025-05-20 02:06:25,entry_fee,2.0
216,80,2025-05-29 20:06:25,reward,6.37
217,80,2025-03-16 20:29:25,entry_fee,5.0
218,80,2025-05-17 05:24:25,deposit,71.21
219,80,2025-04-20 18:39:25,entry_fee,10.0
220,81,2025-02-22 13:32:42,entry_fee,2.0
221,81,2025-06-09 02:21:42,deposit,66.96
222,81,2025-04-22 10:15:42,reward,41.16
223,81,2025-03-05 23:59:42,deposit,89.59
224,82,2025-03-19 10:23:23,deposit,20.64
225,82,2024-12-31 16:35:23,deposit,83.03
226,82,2025-05-07 04:31:23,deposit,41.29
227,82,2025-01-10 21:51:23,entry_fee,5.0
228,82,2025-04-18 07:41:23,entry_fee,20.0
229,83,2025-04-02 22:24:34,reward,17.11
230,83,2025-01-16 13:27:34,deposit,76.86
231,83,2025-01-06 15:32:34,deposit,76.94
232,83,2025-04-13 01:09:34,deposit,54.58
233,83,2025-02-21 01:26:34,deposit,25.1
234,87,2024-12-21 13:11:34,entry_fee,20.0
235,87,2025-01-03 14:02:34,reward,17.65
236,87,2025-03-28 16:31:34,reward,12.31
237,87,2024-12-16 02:53:34,entry_fee,5.0
238,88,2025-04-01 12:37:31,deposit,92.77
239,88,2025-03-12 00:15:31,entry_fee,1.0
240,88,2025-03-17 12:28:31,reward,20.86
241,88,2025-01-20 19:38:31,withdrawal,88.42
242,88,2024-12-20 17:03:31,deposit,59.63
243,89,2025-02-10 21:53:15,entry_fee,2.0
244,89,2025-05-16 08:45:15,deposit,95.08
245,89,2025-01-17 20:57:15,deposit,37.96
246,90,2025-06-01 08:54:19,deposit,39.6
247,91,2025-03-17 15:04:47,entry_fee,20.0
248,91,2025-03-10 12:59:47,deposit,56.98
249,91,2024-12-27 22:48:47,deposit,78.16
250,91,2025-01-04 22:00:47,entry_fee,5.0
251,92,2025-02-13 01:07:19,reward,25.26
252,92,2025-03-02 05:13:19,entry_fee,5.0
253,92,2025-05-29 21:58:19,entry_fee,5.0
254,92,2025-03-27 10:10:19,entry_fee,5.0
255,92,2025-03-04 01:30:19,entry_fee,20.0
256,93,2025-01-21 12:46:18,withdrawal,88.03
257,93,2025-04-26 23:13:18,deposit,54.12
258,93,2025-02-14 12:54:18,deposit,86.13
259,93,2025-03-21 01:20:18,deposit,19.62
260,94,2025-03-03 13:07:10,deposit,25.41
261,94,2025-02-12 14:12:10,withdrawal,47.43
262,94,2024-12-22 10:41:10,entry_fee,5.0
263,94,2025-03-27 22:11:10,reward,47.48
264,94,2025-03-18 11:09:10,entry_fee,2.0
265,95,2025-03-12 08:03:24,reward,7.25
266,95,2025-03-16 23:05:24,deposit,20.17
267,95,2025-05-17 07:40:24,entry_fee,5.0
268,95,2025-06-04 05:36:24,deposit,67.32
269,95,2025-05-24 17:33:24,withdrawal,75.17
270,96,2025-03-10 07:32:30,deposit,34.53
271,96,2025-03-22 11:19:30,reward,37.15
272,96,2025-03-05 16:18:30,entry_fee,2.0
273,96,2025-03-22 13:42:30,deposit,92.57
274,96,2025-02-09 15:53:30,entry_fee,1.0
275,97,2025-04-01 23:03:39,entry_fee,5.0
276,97,2025-04-09 14:02:39,reward,27.6
277,97,2025-02-15 22:36:39,deposit,33.09
278,98,2025-02-24 04:12:12,deposit,92.97
279,98,2025-02-14 00:54:12,entry_fee,5.0
280,98,2025-04-01 13:09:12,entry_fee,5.0
281,99,2025-04-17 12:38:16,deposit,11.08
282,99,2025-05-17 07:29:16,deposit,6.33
283,99,2025-04-17 13:26:16,entry_fee,10.0
284,100,2025-02-15 15:30:09,entry_fee,2.0
285,100,2025-01-12 13:04:09,entry_fee,2.0
286,100,2025-03-11 04:36:09,entry_fee,20.0
287,100,2025-04-04 21:24:09,entry_fee,2.0
288,100,2024-12-10 06:47:09,deposit,8.45
289,101,2025-03-25 09:44:49,reward,19.7
290,102,2025-04-15 07:14:58,deposit,33.37
291,102,2024-12-11 02:50:58,entry_fee,5.0
292,103,2025-05-28 13:43:58,entry_fee,10.0
293,103,2025-02-19 22:53:58,entry_fee,20.0
294,104,2025-02-25 07:24:45,deposit,23.19
295,104,2024-11-18 08:59:45,deposit,73.06
296,104,2025-01-08 11:01:45,reward,20.67
297,104,2024-11-14 03:08:45,entry_fee,2.0
298,104,2024-11-11 05:51:45,entry_fee,10.0
299,105,2025-06-11 02:28:15,entry_fee,10.0
300,105,2025-05-27 23:44:15,reward,21.8
301,105,2025-01-29 12:05:15,entry_fee,5.0
302,105,2025-05-26 18:45:15,deposit,98.17
303,105,2025-02-07 18:58:15,entry_fee,2.0
304,106,2025-01-19 09:29:34,withdrawal,68.65
305,106,2025-02-22 18:38:34,entry_fee,20.0
306,106,2025-05-02 04:08:34,deposit,85.6
307,106,2025-05-30 05:09:34,entry_fee,5.0
308,106,2025-04-16 05:20:34,withdrawal,30.29
309,107,2025-05-25 12:34:56,deposit,33.37
310,107,2025-01-29 08:58:56,entry_fee,2.0
311,107,2025-04-29 04:02:56,entry_fee,20.0
312,107,2025-05-02 18:48:56,withdrawal,98.97
313,107,2025-03-24 08:24:56,withdrawal,6.62
314,109,2025-02-10 18:10:09,deposit,61.16
315,110,2025-02-16 15:40:52,reward,33.9
316,110,2025-03-07 23:44:52,deposit,35.58
317,110,2025-04-14 04:47:52,deposit,80.75
318,111,2025-01-11 09:19:01,deposit,59.61
319,111,2025-04-15 03:38:01,deposit,81.14
320,111,2025-03-20 01:02:01,deposit,60.68
321,111,2025-01-04 17:56:01,withdrawal,34.03
322,111,2025-04-08 19:56:01,entry_fee,2.0
323,112,2025-05-27 18:05:43,deposit,79.66
324,112,2025-01-29 19:28:43,reward,17.38
325,112,2025-03-30 23:45:43,deposit,24.98
326,112,2025-02-02 09:52:43,entry_fee,1.0
327,112,2025-04-01 14:52:43,deposit,8.17
328,114,2025-04-07 03:57:19,deposit,87.27
329,115,2025-03-08 12:48:38,withdrawal,29.27
330,115,2025-02-20 01:25:38,withdrawal,60.73
331,115,2025-04-19 10:22:38,deposit,18.29
332,115,2024-12-17 23:13:38,withdrawal,36.43
333,115,2025-02-15 16:10:38,withdrawal,38.61
334,116,2025-01-22 12:52:50,entry_fee,5.0
335,119,2024-12-10 17:06:51,deposit,29.09
336,119,2025-03-24 11:39:51,entry_fee,10.0
337,120,2025-03-08 19:30:01,deposit,56.2
338,121,2024-12-23 03:57:57,entry_fee,10.0
339,121,2025-02-20 03:08:57,entry_fee,20.0
340,121,2024-12-14 09:28:57,entry_fee,20.0
341,121,2025-01-04 06:20:57,deposit,26.08
342,123,2025-01-08 15:05:21,deposit,38.34
343,124,2025-03-11 10:13:26,withdrawal,79.08
344,124,2025-01-25 09:50:26,entry_fee,5.0
345,124,2025-03-17 14:29:26,deposit,88.62
346,124,2025-01-18 11:38:26,deposit,5.66
347,125,2025-03-28 03:21:41,deposit,32.86
348,125,2025-06-06 00:28:41,entry_fee,5.0
349,126,2025-03-21 17:14:32,deposit,37.08
350,127,2025-01-21 19:36:01,deposit,90.26
351,127,2024-12-24 00:22:01,withdrawal,8.8
352,127,2025-02-20 17:43:01,deposit,52.99
353,127,2025-01-28 07:04:01,deposit,25.57
354,127,2024-11-18 11:14:01,deposit,55.42
355,128,2025-06-03 21:03:27,deposit,70.7
356,128,2025-06-02 06:40:27,deposit,78.48
357,129,2025-04-29 12:02:39,withdrawal,46.64
358,129,2025-01-17 12:19:39,reward,42.39
359,129,2024-12-30 02:56:39,reward,5.15
360,131,2025-04-04 02:49:31,deposit,92.97
361,131,2025-02-20 07:05:31,entry_fee,20.0
362,131,2025-03-17 07:54:31,entry_fee,20.0
363,131,2025-04-21 19:14:31,entry_fee,10.0
364,132,2024-12-28 07:11:02,deposit,76.16
365,132,2025-01-27 00:57:02,deposit,59.0
366,132,2025-02-10 03:48:02,deposit,59.99
367,133,2025-01-08 02:15:49,reward,20.68
368,133,2025-03-10 01:20:49,deposit,82.8
369,133,2025-02-25 07:50:49,entry_fee,1.0
370,133,2024-11-29 00:49:49,entry_fee,20.0
371,133,2025-03-06 21:42:49,deposit,59.18
372,134,2025-03-16 17:20:30,entry_fee,2.0
373,135,2025-02-11 22:56:20,entry_fee,10.0
374,135,2025-01-22 15:53:20,entry_fee,1.0
375,135,2025-03-03 19:07:20,entry_fee,2.0
376,135,2025-06-06 22:30:20,deposit,13.47
377,135,2025-06-04 09:45:20,deposit,6.4
378,137,2025-01-23 18:14:55,entry_fee,2.0
379,137,2025-02-05 03:02:55,entry_fee,20.0
380,137,2025-04-09 02:44:55,entry_fee,1.0
381,137,2025-05-16 03:21:55,withdrawal,58.77
382,139,2025-03-16 20:22:17,entry_fee,1.0
383,139,2025-02-19 08:42:17,reward,28.33
384,139,2024-12-22 13:50:17,deposit,55.51
385,140,2025-04-08 08:25:26,entry_fee,5.0
386,140,2025-05-02 05:05:26,deposit,30.88
387,140,2024-12-12 09:24:26,deposit,45.18
388,140,2024-12-13 07:48:26,withdrawal,16.72
389,141,2025-03-28 17:40:02,withdrawal,9.7
390,142,2025-01-17 11:11:10,entry_fee,5.0
391,142,2025-01-31 12:38:10,withdrawal,72.11
392,143,2025-04-24 03:33:53,entry_fee,5.0
393,143,2024-11-28 03:59:53,entry_fee,1.0
394,143,2025-02-23 09:37:53,deposit,76.48
395,143,2025-03-12 04:05:53,entry_fee,10.0
396,144,2025-05-03 13:15:35,reward,16.82
397,144,2025-04-01 11:55:35,entry_fee,10.0
398,144,2025-03-14 10:26:35,deposit,57.18
399,144,2025-04-01 23:38:35,entry_fee,5.0
400,145,2025-02-05 16:51:54,deposit,58.17
401,146,2025-05-25 11:39:56,deposit,79.68
402,146,2025-02-01 23:27:56,reward,38.23
403,146,2025-04-23 06:40:56,reward,18.43
404,147,2024-11-19 02:01:09,withdrawal,94.0
405,147,2024-12-16 07:00:09,entry_fee,5.0
406,147,2025-01-01 01:39:09,deposit,44.22
407,148,2025-02-03 13:17:25,reward,44.6
408,148,2024-12-01 02:51:25,withdrawal,61.88
409,149,2025-04-04 11:55:13,deposit,67.52
410,149,2025-06-03 20:03:13,reward,17.57
411,149,2025-04-12 00:30:13,entry_fee,20.0
412,150,2025-03-17 08:53:59,entry_fee,20.0
413,151,2025-03-01 13:48:06,entry_fee,5.0
414,151,2025-02-12 21:24:06,deposit,65.25
415,151,2025-04-23 02:32:06,withdrawal,62.44
416,151,2025-05-24 06:03:06,entry_fee,10.0
417,151,2025-02-25 20:07:06,deposit,85.81
418,153,2025-06-20 17:33:08,deposit,34.04
419,153,2025-05-25 22:52:08,entry_fee,20.0
420,153,2025-06-03 08:56:08,entry_fee,1.0
421,154,2024-12-12 08:56:31,reward,40.55
422,154,2025-01-24 19:23:31,entry_fee,20.0
423,154,2024-12-26 05:24:31,withdrawal,67.07
424,154,2025-02-20 23:05:31,entry_fee,1.0
425,154,2025-03-09 02:18:31,entry_fee,10.0
426,156,2025-01-03 02:06:32,entry_fee,1.0
427,156,2025-03-04 17:15:32,entry_fee,2.0
428,156,2025-01-07 07:34:32,deposit,50.47
429,156,2025-03-26 14:07:32,deposit,31.8
430,157,2025-04-11 06:56:49,reward,4.84
431,157,2024-12-02 13:42:49,withdrawal,98.23
432,157,2025-01-06 13:00:49,deposit,58.41
433,157,2025-02-26 04:30:49,deposit,47.76
434,158,2025-02-10 22:06:29,withdrawal,95.25
435,158,2025-04-03 04:16:29,deposit,98.11
436,158,2025-03-01 17:08:29,withdrawal,7.74
437,158,2025-01-25 00:25:29,deposit,82.07
438,159,2025-04-02 20:41:13,withdrawal,84.91
439,159,2025-02-27 17:32:13,deposit,29.94
440,159,2024-12-23 09:36:13,withdrawal,28.23
441,159,2025-03-18 01:57:13,deposit,91.38
442,160,2025-03-20 04:30:01,entry_fee,1.0
443,160,2025-02-04 07:27:01,reward,17.02
444,162,2025-05-04 02:11:38,withdrawal,6.12
445,162,2025-02-28 07:23:38,deposit,17.67
446,163,2025-04-28 21:26:47,reward,25.83
447,163,2025-04-09 06:49:47,deposit,94.05
448,163,2025-01-17 00:06:47,reward,17.14
449,166,2025-05-26 18:04:13,entry_fee,2.0
450,166,2025-04-06 02:04:13,entry_fee,1.0
451,166,2025-05-02 16:39:13,entry_fee,2.0
452,167,2025-01-26 00:15:06,withdrawal,55.69
453,167,2025-01-01 02:10:06,entry_fee,20.0
454,167,2025-01-31 06:55:06,deposit,28.0
455,167,2025-02-28 21:17:06,reward,31.73
456,167,2024-12-11 21:57:06,entry_fee,5.0
457,169,2024-12-09 20:31:33,reward,20.86
458,169,2025-04-22 11:47:33,reward,36.05
459,170,2025-03-16 17:55:11,deposit,96.2
460,170,2024-12-18 15:11:11,entry_fee,1.0
461,170,2025-02-19 06:55:11,deposit,44.62
462,171,2024-11-28 06:37:55,withdrawal,82.81
463,171,2025-03-20 14:39:55,entry_fee,20.0
464,171,2025-02-20 02:49:55,withdrawal,53.07
465,171,2025-03-19 11:40:55,deposit,27.04
466,171,2024-12-09 17:39:55,entry_fee,1.0
467,172,2025-01-19 19:39:52,reward,20.42
468,172,2025-01-22 18:52:52,deposit,23.64
469,172,2025-03-18 04:06:52,reward,45.37
470,172,2025-01-15 01:51:52,reward,6.01
471,173,2025-04-19 22:34:13,entry_fee,20.0
472,174,2025-03-29 08:22:58,entry_fee,20.0
473,174,2025-01-21 15:05:58,deposit,21.95
474,174,2025-04-14 18:30:58,entry_fee,10.0
475,175,2025-03-19 21:59:50,deposit,62.68
476,175,2025-04-27 13:20:50,reward,31.67
477,175,2025-02-28 19:37:50,deposit,92.27
478,175,2025-04-09 05:06:50,deposit,71.37
479,175,2025-01-18 09:08:50,reward,27.15
480,176,2024-12-14 01:44:23,entry_fee,20.0
481,176,2025-03-06 06:40:23,entry_fee,2.0
482,176,2025-01-11 12:31:23,entry_fee,1.0
483,177,2025-04-01 02:03:20,deposit,50.77
484,177,2025-01-31 20:57:20,deposit,66.74
485,178,2025-01-12 04:45:03,reward,37.69
486,178,2024-11-18 15:56:03,deposit,52.08
487,178,2025-03-14 23:34:03,deposit,48.19
488,178,2024-12-15 16:55:03,withdrawal,53.22
489,178,2025-04-06 13:39:03,deposit,92.97
490,179,2025-03-11 07:08:27,deposit,64.72
491,179,2025-05-09 05:44:27,deposit,49.89
492,179,2025-04-20 23:43:27,deposit,93.05
493,179,2025-04-28 01:08:27,reward,2.4
494,180,2025-02-03 01:46:54,withdrawal,88.19
495,180,2025-03-08 07:07:54,entry_fee,5.0
496,180,2025-03-31 22:19:54,reward,20.7
497,180,2025-02-04 09:35:54,deposit,98.84
498,180,2025-04-18 08:22:54,deposit,76.56
499,181,2025-02-11 15:33:15,entry_fee,10.0
500,182,2025-01-08 16:02:58,entry_fee,2.0
501,182,2025-03-01 00:57:58,deposit,28.06
502,182,2025-02-12 08:07:58,deposit,79.36
503,183,2025-02-15 04:33:07,deposit,64.59
504,183,2025-02-10 14:32:07,entry_fee,2.0
505,183,2024-12-31 23:05:07,entry_fee,2.0
506,184,2025-05-02 10:53:49,reward,28.26
507,186,2025-04-04 06:47:19,deposit,34.69
508,186,2025-04-17 11:04:19,deposit,55.13
509,186,2025-03-22 21:11:19,reward,27.42
510,186,2025-01-01 22:23:19,entry_fee,1.0
511,187,2025-02-26 06:15:41,entry_fee,10.0
512,187,2025-01-25 20:38:41,deposit,81.97
513,188,2025-04-11 08:19:01,entry_fee,20.0
514,188,2025-01-27 21:15:01,withdrawal,36.1
515,188,2025-03-20 14:18:01,deposit,14.06
516,188,2025-01-24 19:25:01,deposit,81.73
517,188,2025-02-15 00:02:01,entry_fee,2.0
518,189,2024-12-24 14:15:55,entry_fee,20.0
519,189,2025-01-23 16:29:55,entry_fee,2.0
520,189,2025-01-02 03:41:55,reward,29.44
521,189,2025-02-18 13:43:55,deposit,71.59
522,190,2025-01-25 15:46:08,deposit,24.32
523,190,2025-03-26 23:27:08,deposit,90.94
524,190,2025-03-31 10:47:08,reward,32.14
525,190,2025-01-02 18:28:08,entry_fee,5.0
526,191,2025-02-27 17:38:08,entry_fee,1.0
527,191,2025-04-01 10:20:08,entry_fee,1.0
528,192,2025-04-26 14:58:13,reward,25.12
529,192,2025-05-02 16:00:13,entry_fee,1.0
530,192,2025-05-24 03:18:13,entry_fee,1.0
531,192,2025-01-13 19:47:13,entry_fee,2.0
532,192,2025-01-31 05:48:13,entry_fee,1.0
533,193,2025-05-20 04:14:01,deposit,19.53
534,194,2024-12-25 06:23:55,entry_fee,2.0
535,197,2025-03-26 03:17:05,withdrawal,45.22
536,197,2025-04-22 23:16:05,entry_fee,1.0
537,197,2024-12-29 09:27:05,entry_fee,1.0
538,198,2025-02-27 09:09:29,entry_fee,5.0
539,198,2025-02-01 02:08:29,deposit,83.22
540,199,2025-03-21 22:39:11,deposit,16.36
541,200,2025-03-25 21:48:04,withdrawal,44.28
